alpha3-b,alpha3-t,alpha2,english,yandex,google,bing,reverso,deepl
auto,,auto,Auto,auto,auto,auto-detect,auto,AUTO
aar,,aa,Afar,,,,,
abk,,ab,Abkhazian,,,,,
ace,,,Achinese,,,,,
ach,,,Acoli,,,,,
ada,,,Adangme,,,,,
ady,,,Adyghe,,,,,
ady,,,Adygei,,,,,
afa,,,Afro-Asiatic languages,,,,,
afh,,,Afrihili,,,,,
afr,,af,Afrikaans,af,af,af,,
ain,,,Ainu,,,,,
aka,,ak,Akan,,,,,
akk,,,Akkadian,,,,,
alb,sqi,sq,Albanian,sq,sq,sq,,
ale,,,Aleut,,,,,
alg,,,Algonquian languages,,,,,
alt,,,Southern Altai,,,,,
amh,,am,Amharic,am,am,am,,
anp,,,Angika,,,,,
apa,,,Apache languages,,,,,
ara,,ar,Arabic,ar,ar,ar,ar,
arg,,an,Aragonese,,,,,
arm,hye,hy,Armenian,hy,hy,hy,,
arn,,,Mapudungun,,,,,
arn,,,Mapuche,,,,,
arp,,,Arapaho,,,,,
art,,,Artificial languages,,,,,
arw,,,Arawak,,,,,
asm,,as,Assamese,,,as,,
ast,,,Asturian,,,,,
ast,,,Bable,,,,,
ast,,,Leonese,,,,,
ast,,,Asturleonese,,,,,
ath,,,Athapascan languages,,,,,
aus,,,Australian languages,,,,,
ava,,av,Avaric,,,,,
ave,,ae,Avestan,,,,,
awa,,,Awadhi,,,,,
aym,,ay,Aymara,,,,,
aze,,az,Azerbaijani,az,az,az,,
bad,,,Banda languages,,,,,
bai,,,Bamileke languages,,,,,
bak,,ba,Bashkir,ba,,,,
bal,,,Baluchi,,,,,
bam,,bm,Bambara,,,,,
ban,,,Balinese,,,,,
baq,eus,eu,Basque,eu,eu,,,
bas,,,Basa,,,,,
bat,,,Baltic languages,,,,,
bej,,,Beja,,,,,
bej,,,Bedawiyet,,,,,
bel,,be,Belarusian,be,be,,,
bem,,,Bemba,,,,,
ben,,bn,Bengali,bn,bn,bn,,
ber,,,Berber languages,,,,,
bho,,,Bhojpuri,,,,,
bih,,bh,Bihari languages,,,,,
bik,,,Bikol,,,,,
bin,,,Bini,,,,,
bin,,,Edo,,,,,
bis,,bi,Bislama,,,,,
bla,,,Siksika,,,,,
bnt,,,Bantu languages,,,,,
bos,,bs,Bosnian,bs,bs,bs,,
bra,,,Braj,,,,,
bre,,br,Breton,,,,,
btk,,,Batak languages,,,,,
bua,,,Buriat,,,,,
bug,,,Buginese,,,,,
bul,,bg,Bulgarian,bg,bg,bg,,BG
bur,mya,my,Burmese,my,my,my,,
byn,,,Blin,,,,,
byn,,,Bilin,,,,,
cad,,,Caddo,,,,,
cai,,,Central American Indian languages,,,,,
car,,,Galibi Carib,,,,,
cat,,ca,Catalan,ca,ca,ca,,
cat,,ca,Valencian,ca,ca,ca,,
cau,,,Caucasian languages,,,,,
ceb,,,Cebuano,ceb,ceb,,,
cel,,,Celtic languages,,,,,
cha,,ch,Chamorro,,,,,
chb,,,Chibcha,,,,,
che,,ce,Chechen,,,,,
chg,,,Chagatai,,,,,
chi,zho,zh,Chinese,zh,zh-cn,zh-Hans,zh,ZH
chk,,,Chuukese,,,,,
chm,,,Mari,,,,,
chn,,,Chinook jargon,,,,,
cho,,,Choctaw,,,,,
chp,,,Chipewyan,,,,,
chp,,,Dene Suline,,,,,
chr,,,Cherokee,,,,,
chv,,cv,Chuvash,cv,,,,
chy,,,Cheyenne,,,,,
cmc,,,Chamic languages,,,,,
cnr,,,Montenegrin,,,,,
cop,,,Coptic,,,,,
cor,,kw,Cornish,,,,,
cos,,co,Corsican,,co,,,
cpe,,,"Creoles and pidgins, English based",,,,,
cpf,,,"Creoles and pidgins, French-based",,,,,
cpp,,,"Creoles and pidgins, Portuguese-based",,,,,
cre,,cr,Cree,,,,,
crh,,,Crimean Tatar,,,,,
crh,,,Crimean Turkish,,,,,
crp,,,Creoles and pidgins,,,,,
csb,,,Kashubian,,,,,
cus,,,Cushitic languages,,,,,
cze,ces,cs,Czech,cs,cs,cs,,CS
dak,,,Dakota,,,,,
dan,,da,Danish,da,da,da,,DA
dar,,,Dargwa,,,,,
day,,,Land Dayak languages,,,,,
del,,,Delaware,,,,,
